,komentar
3735,"cuma kalau duduk atau jalannya sekali2 posisi ga ditengah mulu kalau bertiga. kayak yang lain walau berdua tetap ada jarak yang pantas. maaf nih, kalau lady meski berdua selalu agak jarak. mungkin hal sepele tapi itu menunjukkan lady menghormati. Itu spontan kok. Lady jg pembawaan nya dr awal muncul sampai hari ini masih sama. Kalem. Ga dulu gimana sekarang gimana. maaf ya dok sp tau kritik ini ada manfaat. A rtinya netizen sayang sm dr richard n family, btw istri dr richard cantik luar dalam"
3736,Bang.  Mulut netizen itu gak penting untuk diladeni .
3737,duit mereka 0 banyak woi ya kali makan sepiring berdua‚
3738,"Piringnya kan ada 2, kok bisa dituduh sepiring berdua "
3739,Dikira dr richard semiskin apa sampai makan saja harus sepiring berdua?
3740,Alangkah baiknya menjaga jarak.. antara muslimah dan non muslim
3741,"Salah satu obat yang aku pake di rmh sih ini, karna anak keduaku cocok pake ini,,,"
3742,obat untuk penurun panas tetangga2 yang iri melihat kita makin kaya ada gak dok? ‚
3743,Wah Dr. Richard jadi bikin ibu ibu makin percaya nih
3744,Capek liat pemerintah seenaknya melarang gak taunya penelitian gak mendalam.. apa2an ini ?? kerja yang ngawur
3745,"Alhamdulillah, sempat panik ni dan ternyata aman. makasih dokter andalan penjelasannya"
3746,Wah jadi makin yakin Termorex obat penurun panas terbaik
3747,Segara beraktivitas kembali sayang
3748,Ini obat andalan waktu anak anakku kecil. sebelum dibawa ke dokter.
3749,"Sama dok anak "" Ku jg cocok ama termorek"
3750,Apakah @dr.richard_lee dr mendapat endors sampai mau posting thermorex
3751,Bisa pesan ke mas ini ya untuk termorex nya @shinzousasageyo__
3752,"Dokter Ricard, orangnya rendah hati, Tuhan berkati ya dok, usahanya dan keluarga, supaya tetap jadi berkat bagi banyak orang"
3753,Dokter yang live brp jam aja bisa 5M apalagi kalau livenya seharian Dok 
3754,Pada iri sama sultan andara ya lho berusaha sampai gak kaya kaya tapi dia nongol di tv sebentar bisa makan buat lho ber bulan bulan nyindir yang komen....
3755,Keren Raffi ahmad sama dengan dr oky pratama
3756,Keren sultan Andara.. sama kerennya dengan Dr Richard...
3757,Prodak dokter juga pasti bisa.. Apalagi sudah terbukti nyatanya
3758,"Raffi Ahmad emang hebat, GaK pernah jatuhin orang lain."
3759,"Ini ngurusin harta aja terus,, adiknya jadi bangkai tak diurus,, adiknya jadi gorong2 tak dijaga"
3760,"yang kaya makin kaya, yang miskin makin miskin. Mudah2an aku kebagian rezeki yang kaya biar bisa ikutan belanja‚"
3761,"Enak deh kayanya punya badan ramping dan langsing saya sudah coba olahraga teratur tapi BB masih ga turun turun, solusinya apa ya kalau ada yang tau plis bantu dong"
3762,Kemenangan sebenarnya adalah kesejahteraan anak.. bukan hanya sekedar materi ataupun selembar surat pengakuan ayah biologis.. tapi well being si anak kedepan.. setau sy pernah baca kasus ini si anak terlahir saat weni masih berstatus istri org.. dan si anak sudah tercatat secara negara sebagai anak dr suami weni saat itu.. dalam poin ini sebenarnya aib anak weni sudah tertutupi pun masalah akte untuk sekolah sudah tidak bermasalah.. memang msh ada ambigu mslh ayah biologis si anak.. tapi apakah dengan mem blow up kasus ini sedemikian heboh benar lebih baik untuk si anak kedepan.. dan apakah pengumuman siapa ayah biologisnya diketahui oleh semua org adalah yang terbaik buat si anak.. sy rasa yang terjadi sekarang sama sekali bukan kemenangan.. karena justru membuka aib si anak dimuka khalayak.. dan menurut agama pun si anak adalah binti suami weni saat itu tidak bisa jd binti rezki.. ini hanya jd pemenuhan ego si weni aja.. miris
3763,Pentingnya menjaga marwah sebagai wanita. Mohon maaf. Anak hanyalah korban. Dia tidak tahu apa2. Semoga jadi pembelajaran bagi wanita2 yang lain agar jangan terjebak cinta sesaat.
3764,"Menang hanya secara hukum, tapi tidak menang secara kesaluruhan. secara Islam tidak bernasab kepada bapaknya tetap kepada ibunya, dan jg tidak mendapat hak apa pun. mungkin lebih ke hati nurani, bertanggung jawab atas apa yang sudah dilakukan. Semua ini jd pembelajaran dan banyak hilmah yang bisa di ambil .(Harus nonton full nih)"
3765,Ya memang anak yang lahir di luar pernikahan itu jd anak ibunya. Tidak bisa masuk garis nasab bapak. Bin nya jg bin ibunya. Ga bisa nuntut apa apa dr ayah biologis nya. Makanya kalau belum nikah jaga diri harkat martabat perempuan. Kalau begini yang rugi jg perempuan.. Muslim kan ini mbak weni
3766,jangan jd brand ambassador ya Dok yang ini. please. supaya ga menginspirasi wanita2 lain berhubungan di luar nikah
3767,"Dampak korbannya? Anak, karena perbuatan? Orang tuanya, Anak yang(maaf) di luar Nikah itu tidak biaa dapat Ahli waris, tidak dapat Bin bapaknha tapi Ibunya (garis nasab) gak berhak menafkahin si bapak tapi kalau ada niat nuat nafkahin berapa berapapun ya di terima bukan harus 100% menafkahin?? Itulah Kerugian pada Wanita, jagalah diri jangan mau di berbudak oleh Hawa Nafsu? Anak di Luar Nikah itu tanggung jawab ibunya 100%, anak ibunya besok kalai Nikah Wali Hakim bukan Bapaknya jadi Walinya?? Anda Muslimkan seharusnya tau kan batas batasannya? Makanya kasihan anaknya, gak tau apa apa karena perbuatan orang tuanya? Jangan pernah Minta Hak apapun kalau anak di luar Nikah, termasuk anda mbak Weny. Itu di luar tanggung jawab bapaknya, dan itu tanggung jawab anda 100% menafkahin anak anda."
3768,"DNA berkata iya, tapi tidak ada bukti pernikahan. kalau hal demikian nanti2nya dipenuhi oleh hukum, bakal makin banyak aja org seenaknya hub sebelum sah pernikahan. Begitu punya anak, nuntut seperti gini. Aturan malu dan cari alasan lain bukan malah dikenalin itu loh ayahnya. padahal gak nikah. sekarang anak ga begitu paham. Kelak dewasa makin paham siapa ibunya.. bisa jadi bakal nyesel pernah hidup"
3769,"Kan bisa tinggal jelasin aja .. iya nak , itu sebenarnya ayah kamu, tapi mama gak bisa minta pertanggung jawabannya karna dulu mama yang salah.. mama selingkuh dari suami mama , dan mama ajakin artis itu selingkuh padahal dia udah punya tunangan ... Jd bersyukur aja km punya papa yang sekarang ya nak... Jangan bikin mama makin stres... Dan pembelajaran buat kamu , suatu saat km besar , jangan tiru mama ya nak... Kamu harus jd wanita yang lebih bermartabat dari mama ."
3770,"tapi setidak nya ayah punya hati, walau itu anak diluar nikah, kan anak itu tidak salah dia juga butuh ayah kandung nya yang mengakuinya, walau anak diluar nikah tapi tetap dia anak kandung ayah nya gk bisa dipungkirin anak tidak salah"
3771,"Beginilah kalau hamil diluar nikah rasa malunya sudah tidak ada, aib itu disimpan buat diri sendiri mbak bukan untuk di umbar, kasian anakmu kalau sudah besar nanti, jadi bahan omongan org... "
3772,"Anak di luar nikah gak wajib bapaknya menafkahi, makanya jangan murah jd perempuan"
3773,"Ini bukan hanya masalah anak diluar nikah ya, yang tidak ada nasab bapaknya. tapi anak diluar nikah hasil perselingkuhan, karena status saat itu saya masih berstatus istri org. Astaghfirullah, minimal malu lah koar2 tentang hasil aibnya. Kasian anaknya, akan terbully dengan sendirinya."
3774,"lu punya uang, lu ke athena klinik sekarang ‚"
3775,udah ganteng gak usah nyeleneh dok bini lu udah spek dewi
3776,"Mau glow up butuh uang, sedangkan mau cari uang aja syarat nya goodlooking"
3777,Lo punya duit lo punya kuasa . lo ngga punya duit lo puasa 
3778,Dok tolong jangan patahkan harapan kami bahwa disana masih Ada laki laki baik yang stlah sukses dia masih setia dengan istrinya yang sama sama berjuang dr nol 
3779,Semua akan ganteng pada waktu uangnya ada ‚‚‚
3780,"Dok, pakai apa rambut bisa lebet gitu, soalnya suamiku pada rontok rambutnya"
3781,Tatapan mata dokter di foto yang dulu lebih teduh dan adem
3782,"Jagan aneh2 ya dokter , udah ganteng, kaya, sukses, punya anak yang baik dan ganteng2 terus punya istri spek dewi,, buktikan bahwa cinta tahta setia"
3783,"Lebih tepat nya ""Lu ada uang Lu sulam alis"""
3784,teman aku glowing di tanya pake apa katanya cuma bedak bayi.... nyesel nanya
3785,Jadi aku bakal cantik kalau nanti udah punya uang ¸
3786,"Dok maaf, tidak semua org bisa mengambil pelajaran dari org2 negatif seperti ini. Saran saya lebih baik dokter tetap mengangkat wanita2 yang hebat dan positif saja,  jangan memberi panggung untuk wanita yang menurunkan derajat dan harga dirinya untuk alasan hidup, kesenangan, atau apapun seperti ini. Nanti jadi dosa jariyah, karena sampai jauh kedepan, konten ini bisa ditonton oleh anak cucu kita atau generasi muda yang masih labil khawatir disalahartikan, dinormalisasi, atau diam2 dijadikan trend setter. Kasian org tua yang sudah capek2 menjaga anaknya dr hal negatif, bs kecolongan karena konten atau hal2 lain yang bersifat uncontrollable external factors semacam ini. Karena bagaimanapun hakikatnya kami follow akun dokter karena konten2 dokter sangat mengedukasi/ positif, maka ketika beralih (atau mencoba) menawarkan konten dari org negatif seperti ini, maka jangan heran akan ada follower2 dokter yang akan berpaling atau protes seperti saya ini. Tolong dipertimbangkan dok. terima kasih"
3787,"Aduh knp sih manggil nya si ini, manggil nya Irish bela aja dia jg women yang perlu di support"
3788,"Coba dong dok edukasi jangan yang seperti ini padahal masih ada narasumber yang menginspirasi lain nya mungkin dr bisa ngundang seperti putri ariani, yang baru dapat rumah impian nya nah itu menginspirasi sekali dan banyak prestasi lain nya juga dari diri nya dari pada bahas cinta an, masalalu, dll"
3789,"Dear om dokter @dr.richard_lee  kamu tau gak sama kasus Youtuber ""TA"" (kembaran Tasya Farasya) ? Kasusnya itu, manajemen dia gak menggaji 11 karyawannya serta melakukan berbagai intimidasi. Bisa gak ya korban speak up di media om dokter? Biar masyarakat paham soal ketenagakerjaan dan gak ada influencer lain yang mengikuti jejak kedzaliman si TA. Penjelasan kasus ada di video konferensi pers di IG aku (pinned post)"
3790,Masalahnya minuman bersoda tetap bisa meningkatkan tekanan darah ya …
3791,"Selamat siang pak dokter . Maaf kalau komen saya gini terus . Tapi , tolong respon dm saya dong pak dokter ."
3792,Bismillah dok bantuin saya buat beli perlengkapan sekolah anak ku bapak nya udah enggak ada kasih buat masuk sekolah plis
3793,"Tenang ges, cewek setelah disakitin sm cowok perihal org ketiga pasti bakal sadar diri kok, gak mungkin ngegait suami orang"
3794,Istrinya aja percaya kok aku yang takut
3795,"Netizen pada kurang kerjaan,  jangan lah lo bawa insecurities lo dengan bilang ""kalau saya jadi istrinya pasti cemburu"" makanya dari pada julid tuh minimal perawatan, benarin diri biar ga insecure mulu. Semua orang ini professional dan tau posisi masing2, dr. Reni jangankan buat cemburu, buat mikirin yang engga2 soal lakinya aja aja ga bakal, karna dia ga insecure sebagai seorang perempuan, dan suaminya makin sukses malah makin bahagiain istri. Jangan kalian salahin orang lain atas skenario yang kalian susun di kepala kalian sendiri naudzubillah! "
3796,Kemarin  ada ustadz  yang izin ke istri mau isi ceramah  dikampung  sebelah eh malah Akad nikah ‚
3797,YaAllah cocok bangett (urusan bisnis ya) 
3798,Jangan deket nanti nyaman 
3799,"Tunggu aja hasil akhirnya, sekarang diam aja dulu, ntar juga endingnya tepuk tangan ‚"
3800,"Meskipun istrinya tidak cemburu, kita yang harus perasaan pasangan kita kak,. tetap jaga jarak meskipun itu tentang bisnis dan pekerjaan .. supaya orang lain tidak berfikir yang tidak2 .. hanya sekedar saran kak.. karena sy juga wanita, sekuat2nya wanita menjaga perasaan tetap ada sedikit biji kacang perasaan cemburu  jika melihat suami foto dengan wanita lain meskipun alasannya syar'i..."
3801,"Orang yang benar kaya akan sesederhana menunjukkannya dan menikmatinya, kalau orang pura kaya akan berpamer sana sini dengan riaknya "
3802,"Sama seperti anak saya, dia kalau les pelajaran beta banget. Banyak orang mengira kami orang tuanya memaksa, padahal dia menikmati proses belajar di tempat les.  semoga rezeki bapak2 ini menular ke anak saya. "
3803,"Intinya org yang benaran kaya tidak pernah berhenti belajar, mereka tertarik dengan hal"" baru"
3804,Sama say juga jualan padahal mah capek sambil. ngurus anak tapi saya suka saya hobby dan saya menikmati
3805,Beda kelas.... kata2 yang bagus.... ini baru the real sultan .. hehehe ...
3806,Motivasi menikmati proses itu yang tak tergantikan. Selalu menantang
3807,yang terpenting seberapa besar kita berkontribusi / dampak positif bagi sesama manusia. bukan seberapa besar atau banyak yang kita nikmati pribadi. yang punya uang bisa kontribusi dengan donasi kepada yang berkekurangan. kalau yang kita punya waktu bisa kita kontribusi waktu kita untuk perkerjaan volunteer work 
3808,"Saya suka mengikuti perjalanan hidup orang sukses, baik dalam harta atau pun bermanfaat untuk org lain. Ada satu hal yang sama dari mereka, do your best, do what u love, and love what u do, kesuksesan akan mengikuti dengan sendirinya."
3809,Sama kita kasih mknan ke kucing dan anjing jalanan kita happy mereka mau makan ya itu la kebahagiaan yang tidak bisa di ukur pakai duit. Bahagia hati itu beda lo.
3810,"Wow, selamat2... hasilnya luar biasa dan pasti berbagi berkat dengan banyak orang. Kebayang senangnya staf dan semua yang berkontribusi. Welldone pak dokter"
3811,"Semoga nular rezekinya,, aku masuk 100pc saja penjualan sudah pengen salto"
3812,Subhnallah dr.richard berkah selalu karna selalu bantu orang yang membutuhkan. sehat selalu dokter dan istri tercinta 
3813,Congratulation dok ... jangan lupa ke THT dok... cek pita suaranya‚‚‚...
3814,Orang baik suka menolong rezeki nya melimpah ruah
3815,Semoga Rezekinya Pak Dokter Baik @dr.richard_lee nular ke saya .........  Allahumma Sholli Ala Sayyidina Muhammad Wa Ala Ali Sayyidina Muhammad 
3816,"Pingin banget pake athena lagi, mudahan dapat kiriman free dari @dr.richard_lee …"
3817,Ya Allah Keren banget mudah betul sehari tembus 3M semoga saya bulan depan tembus 100juta 
3818,Saya juga udah pernah dok dapat 3M dalam 1 hari tanpa berjualan apapun karena saya cuma mimpi aja dok waktu tidur
3819,Alhamdulillah berkah ya dr Richard  emang nya kalau menolong orang di zholimin ga bakal susah yang ada nambah berkah nya  sehat2 terus dr
3820,Alhamdulillah berkah ya dokkbismillah jum'at berkah 500rbu
3821, Kalian berduaa hebat banget ‚… @louissescarlett @dr.richard_lee
3822,Sebuntukan 2 persamaan antara dr. Richard dengan suami saya!! yang bs tebak dapat 500rb
3823,"Emang beda ya... kalau yang ngejual emak2 sama Bapak2... ‚marketingnya beda pendekatan nya.. Walaupun jualan... Keren banget dok... Ditunggu buku nya, trik jualan ala dokter"
3824,"dr. Richard...usia saya 59 tahun, apa ada skincare yang bisa membuat wajah segar tapi jangan yang mahal ya...."
3825,Mau skincare nya dok pingin cicip dok skin care mantul. Skin care nya para sultan sayang aku bukan sultan komen ke 9 mnit
3826,dokter mau banget beli untuk ngilangi flek hitam gimana cara belinya
3827,Dari dulu mau skincare dari dr tapi ga punya uang habis buat ngurusin anak
3828,Saya baru pertama kali coba. baru pake sekali tapi ga cocok. barangkali ada yang minat… masih utuh .. hanya cream malam dan pagi TERPAKAI 1x
3829,"Mind site nya jangan glowing dok tapi healthy sehat dulu, kalau glowing dulu banyak tuh skincare diluaran sana"
3830,"Gak sanggup beli dok pengangguran dengan berbagai mslh kulit,. menunggu keajaiban datang"
3831,Sale jg kah DNA salmonnya sudah titik terakhir ini DNA salmonnya pelase dok
3832,kita doakan tony cepat punya istri baru yang tidak lemapar gelas .banyak wanita indonesia yang baik bandung jawa cantik soleh .amin amin
3833,"saya tau kalau si Mr .dedola ini gak salah ,karena zaman sekarang ayah mana yang mau ngurus anak sambung 3 org tulus sampai anak nyaman.., sangat disayangi mbak  Nikmir gak berfikir dan berubah, padahal mereka cocok banget, semoga mereka selalu sehat"
3834,"Asumsi saya si ya, nyai ini kan mantanya banyak tuh tapi loly cuman kaliatan dekat apa toni doang yang berarti toni baik dong ke loly dan adik""nya? Secara yang lain kek cuman sekedar doang gitu loh. Tapi saya gatau ya kan yang paling tau baik buruknya toni ya cuma nyai sama loly aja. saya si cuma nonton doang"
3835,Saya mengerti Anda mencintai putrinya. Tapi memiliki kebijaksanaan biarkan dia kembali ke ibunya. Fokus pada diri sendiri dan keluarga masa depan baru Anda. Loly harus mengerti ini
